Name,Code
Irvine,143072
Irving,191615
Jackson,184256
Jacksonville,735167
Jersey City,240055
Joliet,106221
Kansas City,441545
Kansas City,146866
Kenosha,89447
Knoxville,173890
Lafayette,110257
Lakewood,144126
Lancaster,118718
Lansing,119128
Laredo,176576
Las Vegas,478434
Lexington-Fayette,260512
Lincoln,225581
Little Rock,183133
Livonia,100545
Long Beach,461522
Los Angeles,3694820
Louisville,256231
Lowell,105167
Lubbock,199564
Macon,113336
Madison,208054
Manchester,107006
McAllen,106414
Memphis,650100
Mesa,396375
Mesquite,124523
Metairie,149428
Miami,362470
Miami Beach,97855
Midland,98293
Milwaukee,596974
Minneapolis,382618
Mission Viejo,98049
Mobile,198915
Modesto,188856
Montgomery,201568
Moreno Valley,142381
Naperville,128358
Nashville-Davidson,569891
New Bedford,94780
New Haven,123626
New Orleans,484674
New York,8008278
Newark,273546
Newport News,180150
Norfolk,234403
Norman,94193
North Las Vegas,115488
Norwalk,103298
Oakland,399484
Oceanside,161029
Odessa,89293
Oklahoma City,506132
Omaha,390007
Ontario,158007
Orange,128821
Orlando,185951
Overland Park,149080
Oxnard,170358
Palmdale,116670
Paradise,124682
Pasadena,141674
Pasadena,133936
Paterson,149222
Pembroke Pines,137427
Peoria,112936
Peoria,108364
Philadelphia,1517550
Phoenix,1321045
Pittsburgh,334563
Plano,222030
Pomona,149473
Portland,529121
Portsmouth,100565
Providence,173618
Provo,105166
Pueblo,102121
Raleigh,276093
Rancho Cucamonga,127743
Reno,180480
Richmond,197790
Richmond,94100
Riverside,255166
Roanoke,93357
Rochester,219773
Rockford,150115
Sacramento,407018
Saint Louis,348189
Saint Paul,287151
Saint Petersburg,248232
Salem,136924
Salinas,151060
Salt Lake City,181743
San Antonio,1144646
San Bernardino,185401
San Buenaventura,100916
San Diego,1223400
San Francisco,776733
San Jose,894943
San Mateo,91799
Sandy,101853
Santa Ana,337977
Santa Clara,102361
Santa Clarita,151088
Santa Monica,91084
Santa Rosa,147595
Savannah,131510
Scottsdale,202705
Seattle,563374
Shreveport,200145
Simi Valley,111351
Sioux Falls,123975
South Bend,107789
Spokane,195629
Springfield,152082
Springfield,151580
Springfield,111454
Stamford,117083
Sterling Heights,124471
Stockton,243771
Sunnyvale,131760
Sunrise Manor,95362
Syracuse,147306
Tacoma,193556
Tallahassee,150624
Tampa,303447
Tempe,158625
Thousand Oaks,117005
Toledo,313619
Topeka,122377
Torrance,137946
Tucson,486699
Tulsa,393049
Vallejo,116760
Vancouver,143560
Virginia Beach,425257
Visalia,91762
Waco,113726
Warren,138247
Washington,572059
Waterbury,107271
West Covina,105080
West Valley City,108896
Westminster,100940
Wichita,344284
Wichita Falls,104197
Winston-Salem,185776
Worcester,172648
Yonkers,196086
