,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_Bin,Normalized_Income,Graduate,Not Graduate
0,1,0,1,1,1,1,5849,0.0,,360.0,1.0,0,0,,38.23937760999779,1,0
1,0,0,0,0,1,1,4583,1508.0,128.0,360.0,1.0,1,1,Medium,33.84892908202562,1,0
2,0,0,0,1,1,0,3000,0.0,66.0,360.0,1.0,0,0,Low,27.386127875258307,1,0
3,0,0,0,1,0,1,2583,2358.0,120.0,360.0,1.0,0,0,Medium,25.411611519146124,0,1
4,0,0,1,1,1,1,6000,0.0,141.0,360.0,1.0,0,0,Medium,38.72983346207417,1,0
5,0,0,0,0,1,0,5417,4196.0,267.0,360.0,1.0,0,0,High,36.800135869314396,1,0
6,0,0,0,1,0,1,2333,1516.0,95.0,360.0,1.0,0,0,Low,24.150569351466643,0,1
7,0,0,0,0,1,1,3036,2504.0,158.0,360.0,0.0,0,1,Medium,27.54995462791182,1,0
8,0,0,0,0,1,1,4006,1526.0,168.0,360.0,1.0,0,0,Medium,31.64648479689332,1,0
9,0,0,0,0,1,1,12841,10968.0,349.0,360.0,1.0,0,1,Extreme,56.65906811799855,1,0
10,0,0,0,0,1,1,3200,700.0,70.0,360.0,1.0,0,0,Low,28.284271247461902,1,0
11,0,0,0,0,1,0,2500,1840.0,109.0,360.0,1.0,0,0,Medium,25.0,1,0
12,0,0,0,0,1,1,3073,8106.0,200.0,360.0,1.0,0,0,Medium,27.7173231030704,1,0
13,0,0,1,1,1,1,1853,2840.0,114.0,360.0,1.0,1,1,Medium,21.523243250030884,1,0
14,0,0,0,0,1,1,1299,1086.0,17.0,120.0,1.0,0,0,Low,18.0208212909401,1,0
15,0,0,1,1,1,1,4950,0.0,125.0,360.0,1.0,0,0,Medium,35.17811819867572,1,0
16,0,0,1,0,0,1,3596,0.0,100.0,240.0,,0,0,Low,29.9833287011299,0,1
17,0,1,1,1,1,1,3510,0.0,76.0,360.0,0.0,0,1,Low,29.62262648719725,1,0
18,0,0,0,1,0,1,4887,0.0,133.0,360.0,1.0,1,1,Medium,34.95354059319313,0,1
19,0,0,0,1,1,0,2600,3500.0,115.0,,1.0,0,0,Medium,25.495097567963924,1,0
20,0,0,0,1,0,1,7660,0.0,104.0,360.0,0.0,0,1,Medium,43.76071297408213,0,1
21,0,0,0,0,1,1,5955,5625.0,315.0,360.0,1.0,0,0,Extreme,38.58432324144095,1,0
22,0,0,0,1,0,1,2600,1911.0,116.0,360.0,0.0,0,1,Medium,25.495097567963924,0,1
23,0,0,0,0,0,1,3365,1917.0,112.0,360.0,0.0,1,1,Medium,29.004310024546353,0,1
24,0,0,0,0,1,0,3717,2925.0,151.0,360.0,,0,1,Medium,30.483602149352365,1,0
25,0,0,0,1,1,0,9560,0.0,191.0,360.0,1.0,0,0,Medium,48.88762624632127,1,0
26,0,0,0,1,1,1,2799,2253.0,122.0,360.0,1.0,0,0,Medium,26.452788132822597,1,0
27,0,0,0,0,0,1,4226,1040.0,110.0,360.0,1.0,0,0,Medium,32.50384592629001,0,1
28,0,0,1,1,0,1,1442,0.0,35.0,360.0,1.0,0,1,Low,18.986837546047525,0,1
29,0,1,1,0,1,0,3750,2083.0,120.0,360.0,1.0,0,0,Medium,30.618621784789728,1,0
30,0,0,0,0,1,0,4166,3369.0,201.0,360.0,,0,1,High,32.27227912620985,1,0
31,0,0,1,1,1,1,3167,0.0,74.0,360.0,1.0,0,1,Low,28.138052526783014,1,0
32,0,0,1,0,1,0,4692,0.0,106.0,360.0,1.0,1,1,Medium,34.249087579087416,1,0
33,0,0,0,1,1,1,3500,1667.0,114.0,360.0,1.0,0,0,Medium,29.58039891549808,1,0
34,0,0,1,0,1,1,12500,3000.0,320.0,360.0,1.0,1,1,Extreme,55.90169943749474,1,0
35,0,0,0,1,1,1,2275,2067.0,,360.0,1.0,0,0,,23.84848003542364,1,0
36,0,0,0,1,1,1,1828,1330.0,100.0,,0.0,0,1,Low,21.37755832643195,1,0
37,0,1,0,1,1,1,3667,1459.0,144.0,360.0,1.0,0,0,Medium,30.277879714405366,1,0
38,0,0,1,1,1,1,4166,7210.0,184.0,360.0,1.0,0,0,Medium,32.27227912620985,1,0
39,0,0,1,1,0,1,3748,1668.0,110.0,360.0,1.0,0,0,Medium,30.610455730027933,0,1
40,0,0,1,1,1,1,3600,0.0,80.0,360.0,1.0,0,1,Low,30.0,1,0
41,0,0,1,1,1,1,1800,1213.0,47.0,360.0,1.0,0,0,Low,21.213203435596427,1,0
42,0,0,0,1,1,1,2400,0.0,75.0,360.0,,0,0,Low,24.49489742783178,1,0
43,0,0,0,1,1,1,3941,2336.0,134.0,360.0,1.0,0,0,Medium,31.388692231439016,1,0
44,0,0,0,1,0,0,4695,0.0,96.0,,1.0,0,0,Low,34.2600350262518,0,1
45,0,1,1,1,1,1,3410,0.0,88.0,,1.0,0,0,Low,29.197602641312866,1,0
46,0,0,0,0,1,1,5649,0.0,44.0,360.0,1.0,0,0,Low,37.579914848227105,1,0
47,0,0,0,1,1,1,5821,0.0,144.0,360.0,1.0,0,0,Medium,38.14773912042495,1,0
48,0,1,0,1,1,1,2645,3440.0,120.0,360.0,0.0,0,1,Medium,25.71478174124758,1,0
49,0,1,1,1,1,1,4000,2275.0,144.0,360.0,1.0,0,0,Medium,31.622776601683793,1,0
50,0,1,0,1,0,1,1928,1644.0,100.0,360.0,1.0,0,0,Low,21.95449840010015,0,1
51,0,1,1,1,1,1,3086,0.0,120.0,360.0,1.0,0,0,Medium,27.7758888246623,1,0
52,0,1,1,1,1,1,4230,0.0,112.0,360.0,1.0,0,1,Medium,32.5192250830182,1,0
53,0,0,0,0,1,1,4616,0.0,134.0,360.0,1.0,0,1,Medium,33.97057550292606,1,0
54,0,1,0,0,1,0,11500,0.0,286.0,360.0,0.0,0,1,High,53.61902647381804,1,0
55,0,0,0,0,1,1,2708,1167.0,97.0,360.0,1.0,0,0,Low,26.019223662515376,1,0
56,0,0,0,1,1,1,2132,1591.0,96.0,360.0,1.0,0,0,Low,23.08679276123039,1,0
57,0,0,0,1,1,1,3366,2200.0,135.0,360.0,1.0,1,1,Medium,29.008619408720573,1,0
58,0,0,0,0,1,1,8080,2250.0,180.0,360.0,1.0,0,0,Medium,44.94441010848846,1,0
59,0,0,0,0,0,1,3357,2859.0,144.0,360.0,1.0,0,0,Medium,28.96981187374195,0,1
60,0,0,0,1,1,1,2500,3796.0,120.0,360.0,1.0,0,0,Medium,25.0,1,0
61,0,0,0,0,1,1,3029,0.0,99.0,360.0,1.0,0,0,Low,27.518175811634027,1,0
62,0,0,0,1,0,0,2609,3449.0,165.0,180.0,0.0,1,1,Medium,25.53918557824427,0,1
63,0,0,0,0,1,1,4945,0.0,,360.0,0.0,1,1,,35.16034698349833,1,0
64,0,1,1,1,1,1,4166,0.0,116.0,360.0,0.0,0,1,Medium,32.27227912620985,1,0
65,0,0,0,1,1,1,5726,4595.0,258.0,360.0,1.0,0,1,High,37.83516882478523,1,0
66,0,0,1,1,0,1,3200,2254.0,126.0,180.0,0.0,0,1,Medium,28.284271247461902,0,1
67,0,0,0,0,1,1,10750,0.0,312.0,360.0,1.0,0,0,Extreme,51.8411033833193,1,0
68,0,0,0,0,0,0,7100,0.0,125.0,60.0,1.0,0,0,Medium,42.13074886588179,0,1
69,0,1,1,1,1,1,4300,0.0,136.0,360.0,0.0,0,1,Medium,32.78719262151,1,0
70,0,0,0,1,1,1,3208,3066.0,172.0,360.0,1.0,0,0,Medium,28.319604517012593,1,0
71,0,0,0,0,0,0,1875,1875.0,97.0,360.0,1.0,0,0,Low,21.650635094610966,0,1
72,0,0,1,1,1,1,3500,0.0,81.0,300.0,1.0,0,0,Low,29.58039891549808,1,0
73,0,0,0,0,0,1,4755,0.0,95.0,,0.0,0,1,Low,34.478254016118626,0,1
74,0,0,0,0,1,0,5266,1774.0,187.0,360.0,1.0,0,0,Medium,36.28360511305347,1,0
75,0,0,1,1,1,1,3750,0.0,113.0,480.0,1.0,0,1,Medium,30.618621784789728,1,0
76,0,0,1,1,1,1,3750,4750.0,176.0,360.0,1.0,0,1,Medium,30.618621784789728,1,0
77,0,0,0,0,1,0,1000,3022.0,110.0,360.0,1.0,0,1,Medium,15.811388300841896,1,0
78,0,0,0,0,1,1,3167,4000.0,180.0,300.0,0.0,0,1,Medium,28.138052526783014,1,0
79,0,0,0,0,0,0,3333,2166.0,130.0,360.0,,0,0,Medium,28.86607004772212,0,1
80,0,1,1,1,1,1,3846,0.0,111.0,360.0,1.0,0,0,Medium,31.008063467427306,1,0
81,0,0,0,0,1,0,2395,0.0,,360.0,1.0,0,0,,24.469368606484313,1,0
82,0,1,0,0,1,1,1378,1881.0,167.0,360.0,1.0,0,1,Medium,18.560711193270585,1,0
83,0,0,0,1,1,1,6000,2250.0,265.0,360.0,,0,1,High,38.72983346207417,1,0
84,0,0,0,0,1,1,3988,0.0,50.0,240.0,1.0,0,0,Low,31.575306807693888,1,0
85,0,0,1,1,1,1,2366,2531.0,136.0,360.0,1.0,0,0,Medium,24.320773014030618,1,0
86,0,0,0,0,0,1,3333,2000.0,99.0,360.0,,0,0,Low,28.86607004772212,0,1
